iter	Passed	Remaining
401	15386	22889
402	15419	22842
403	15451	22795
404	15483	22747
405	15511	22694
406	15541	22644
407	15570	22592
408	15604	22547
409	15634	22498
410	15669	22455
411	15698	22404
412	15731	22358
413	15768	22319
414	15796	22267
415	15826	22217
416	15858	22171
417	15889	22123
418	15923	22079
419	15956	22035
420	15983	21982
421	16011	21930
422	16039	21878
423	16071	21832
424	16102	21785
425	16127	21730
426	16158	21683
427	16189	21636
428	16217	21585
429	16244	21533
430	16276	21487
431	16306	21440
432	16332	21386
433	16360	21336
434	16391	21290
435	16419	21240
436	16451	21195
437	16487	21155
438	16517	21107
439	16552	21066
440	16575	21010
441	16611	20971
442	16642	20924
443	16676	20882
444	16707	20837
445	16739	20792
446	16771	20748
447	16803	20704
448	16829	20652
449	16857	20604
450	16888	20558
451	16922	20516
452	16953	20471
453	16982	20424
454	17014	20379
455	17044	20333
456	17077	20290
457	17105	20242
458	17135	20196
459	17161	20146
460	17187	20095
461	17212	20043
462	17244	20000
463	17274	19955
464	17304	19909
465	17336	19865
466	17365	19819
467	17389	19767
468	17427	19730
469	17477	19708
470	17526	19684
471	17582	19668
472	17643	19657
473	17681	19621
474	17731	19598
475	17766	19558
476	17794	19511
477	17829	19470
478	17860	19427
479	17887	19378
480	17915	19331
481	17945	19286
482	17974	19239
483	18010	19200
484	18042	19158
485	18075	19117
486	18104	19071
487	18133	19025
488	18166	18983
489	18194	18936
490	18226	18894
491	18254	18848
492	18283	18802
493	18306	18751
494	18330	18700
495	18358	18654
496	18383	18605
497	18410	18558
498	18435	18509
499	18463	18463
500	18487	18413
501	18517	18369
502	18545	18324
503	18571	18277
504	18599	18230
505	18625	18183
506	18656	18141
507	18683	18094
508	18715	18053
509	18741	18006
510	18766	17958
511	18788	17907
512	18817	17864
513	18846	17820
514	18871	17772
515	18899	17727
516	18930	17685
517	18963	17645
518	18999	17608
519	19030	17566
520	19060	17524
521	19085	17476
522	19115	17433
523	19144	17390
524	19169	17343
525	19194	17296
526	19228	17258
527	19253	17211
528	19279	17165
529	19305	17120
530	19333	17075
531	19364	17034
532	19387	16987
533	19417	16944
534	19447	16902
535	19476	16859
536	19509	16820
537	19540	16780
538	19570	16738
539	19597	16694
540	19624	16649
541	19652	16606
542	19680	16563
543	19713	16524
544	19741	16481
545	19771	16440
546	19797	16395
547	19827	16353
548	19866	16319
549	19904	16285
550	19943	16251
551	19971	16208
552	19995	16162
553	20024	16120
554	20053	16078
555	20082	16036
556	20111	15995
557	20139	15952
558	20164	15907
559	20193	15866
560	20221	15823
561	20248	15780
562	20287	15747
563	20316	15705
564	20343	15662
565	20370	15619
566	20395	15575
567	20422	15532
568	20454	15493
569	20480	15450
570	20506	15406
571	20532	15363
572	20560	15321
