iter	MultiClass
0	1.080547048
1	1.06295852
2	1.045908722
3	1.029307901
4	1.013159448
5	0.9974407868
6	0.9821634679
7	0.9672960854
8	0.95279702
9	0.9386618117
10	0.9248783907
11	0.9114631327
12	0.8983286514
13	0.8855367733
14	0.8730550229
15	0.8608750192
16	0.8489598127
17	0.8372966684
18	0.8259315305
19	0.8147805043
20	0.8038983842
21	0.7932452602
22	0.7828388982
23	0.772647896
24	0.7626828028
25	0.7529015202
26	0.7433338524
27	0.7339695552
28	0.724788765
29	0.715791342
30	0.7069777079
31	0.6983373123
32	0.6898650021
33	0.6815594693
34	0.6734223505
35	0.6654267104
36	0.657593953
37	0.6499045041
38	0.6423498912
39	0.63494687
40	0.6276821653
41	0.6205338139
42	0.6135319459
43	0.6066425633
44	0.5998861645
45	0.5932404012
46	0.5867240459
47	0.5803034588
48	0.5740104592
49	0.5678252744
50	0.5617454802
51	0.5557759276
52	0.549895162
53	0.5441193853
54	0.5384468954
55	0.5328676807
56	0.5273765975
57	0.5219745982
58	0.5166640191
59	0.5114408082
60	0.5062990497
61	0.5012333299
62	0.4962648879
63	0.4913650695
64	0.4865448339
65	0.4818041701
66	0.4771399886
67	0.472544533
68	0.4680255357
69	0.4635794715
70	0.4592008779
71	0.4548905155
72	0.450649853
73	0.4464782829
74	0.4423654193
75	0.4383189675
76	0.4343273382
77	0.4303973228
78	0.4265237123
79	0.4227192822
80	0.4189620056
81	0.4152600821
82	0.411614568
83	0.4080233749
84	0.4044845345
85	0.400998321
86	0.3975726019
87	0.3941919449
88	0.3908604168
89	0.387576942
90	0.3843404202
91	0.381149794
92	0.3780079739
93	0.3749075168
94	0.3718536544
95	0.3688459803
96	0.3658759453
97	0.3629521241
98	0.3600693022
99	0.3572283207
100	0.354430156
101	0.3516693536
102	0.34893767
103	0.3462578216
104	0.3436116267
105	0.3410061199
106	0.3384329068
107	0.3358986142
108	0.3333967376
109	0.3309293798
110	0.3284997449
111	0.326101223
112	0.323741041
113	0.3214146916
114	0.3191135315
115	0.3168500711
116	0.314607748
117	0.3124023482
118	0.3102256993
119	0.3080770747
120	0.305957995
121	0.3038732105
122	0.301812544
123	0.2997835167
124	0.2977825531
125	0.2958099117
126	0.2938598513
127	0.2919396806
128	0.2900426127
129	0.2881714982
130	0.2863274717
131	0.2845057985
132	0.282706049
133	0.2809374298
134	0.2791858763
135	0.2774615824
136	0.2757621612
137	0.2740839915
138	0.272427398
139	0.2707943577
140	0.2691808915
141	0.2675898117
142	0.266020248
143	0.2644732023
144	0.2629439377
145	0.2614374962
146	0.2599515423
147	0.2584837528
148	0.2570332717
149	0.2556021729
150	0.2541892444
151	0.2527974447
152	0.2514253864
153	0.2500741587
154	0.2487368987
155	0.2474162356
156	0.2461147124
157	0.2448305854
158	0.2435654712
159	0.2423133598
160	0.2410761411
161	0.2398559991
162	0.238652219
163	0.2374651956
164	0.2362927585
165	0.2351376857
166	0.2339960988
167	0.2328705042
168	0.2317620532
169	0.2306659639
170	0.2295844837
171	0.2285182836
172	0.2274671642
173	0.2264292774
174	0.2254034709
175	0.2243922998
176	0.2233939459
177	0.222411162
178	0.2214431921
179	0.220484712
180	0.2195382653
181	0.2186021655
182	0.2176816059
183	0.2167741922
184	0.2158775361
185	0.2149936146
186	0.2141188722
187	0.2132567523
188	0.2124067423
189	0.211568715
190	0.2107433973
191	0.2099282076
192	0.2091222651
193	0.2083279965
194	0.2075440452
