iter	MultiClass
195	0.206768985
196	0.2060026187
197	0.2052468583
198	0.2044998407
199	0.203766091
200	0.2030427613
201	0.2023263882
202	0.2016219522
203	0.2009256643
204	0.2002400671
205	0.1995614683
206	0.1988880949
207	0.1982281438
208	0.1975771822
209	0.1969355911
210	0.1963023444
211	0.1956764583
212	0.1950609698
213	0.1944524391
214	0.1938527839
215	0.1932618246
216	0.1926801624
217	0.1920995277
218	0.1915329628
219	0.1909695457
220	0.1904152207
221	0.1898689043
222	0.1893305083
223	0.1888012382
224	0.1882772641
225	0.1877589411
226	0.1872474028
227	0.1867368285
228	0.186240699
229	0.1857489254
230	0.1852613523
231	0.1847818199
232	0.1843109441
233	0.1838480012
234	0.1833909472
235	0.1829343749
236	0.1824913807
237	0.1820479681
238	0.1816106778
239	0.1811833232
240	0.1807613578
241	0.180343734
242	0.1799339533
243	0.1795266625
244	0.1791193524
245	0.1787257256
246	0.1783353374
247	0.1779534257
248	0.1775741685
249	0.1771997792
250	0.176826646
251	0.1764637681
252	0.1761005889
253	0.1757445405
254	0.1753967335
255	0.1750556795
256	0.1747210878
257	0.1743858566
258	0.174055503
259	0.1737295556
260	0.1734093312
261	0.1730958533
262	0.1727815108
263	0.1724687301
264	0.1721621682
265	0.1718594366
266	0.1715574837
267	0.1712655909
268	0.1709807888
269	0.1706967604
270	0.1704162932
271	0.1701412598
272	0.1698688568
273	0.1695937657
274	0.1693262909
275	0.1690610556
276	0.1688023693
277	0.1685493805
278	0.1682983312
279	0.1680531343
280	0.1678068899
281	0.1675673822
282	0.1673308853
283	0.1670963062
284	0.1668637814
285	0.1666400681
286	0.1664166315
287	0.1661969785
288	0.16597885
289	0.165762723
290	0.1655496587
291	0.1653398544
292	0.165133073
293	0.1649317395
294	0.1647264099
295	0.1645285159
296	0.1643362453
297	0.1641417081
298	0.1639533461
299	0.1637668422
300	0.1635869936
301	0.1634091996
302	0.1632308058
303	0.1630533115
304	0.1628740454
305	0.1627012435
306	0.1625173115
307	0.1623398788
308	0.1621729902
309	0.1620066865
310	0.1618516804
311	0.1616923907
312	0.1615307686
313	0.1613833026
314	0.1612269637
315	0.1610666355
316	0.1609141697
317	0.160775228
318	0.1606372421
319	0.1605005336
320	0.1603621808
321	0.160228638
322	0.1600849495
323	0.1599460167
324	0.1598092298
325	0.1596852045
326	0.1595539893
327	0.1594212542
328	0.1593013712
329	0.1591817037
330	0.1590518795
331	0.158935374
332	0.15881783
333	0.1586933358
334	0.1585685735
335	0.158459763
336	0.1583468516
337	0.1582359291
338	0.1581328123
339	0.1580256972
340	0.1579160186
341	0.157810422
342	0.1577074002
343	0.1576049079
344	0.1575077101
345	0.1574084493
346	0.1573083065
347	0.1572095615
348	0.1571126577
349	0.157012907
350	0.1569223384
351	0.1568216482
352	0.1567215141
353	0.1566346124
354	0.156543381
355	0.1564566291
356	0.1563710922
357	0.1562935285
358	0.1562089577
359	0.1561319152
360	0.1560496573
361	0.1559710075
362	0.1558955047
363	0.1558252757
364	0.1557370942
365	0.1556605797
366	0.1555856989
367	0.1555089494
368	0.1554363675
369	0.1553614564
370	0.155297695
371	0.1552352484
372	0.1551651905
373	0.1550951558
374	0.1550316464
375	0.154973274
376	0.1549127347
377	0.1548426418
378	0.1547804393
379	0.1547027101
380	0.1546429673
381	0.1545835371
382	0.1545068944
383	0.1544345067
384	0.1543757552
385	0.1543227478
386	0.1542709914
387	0.1542099442
388	0.1541470431
389	0.1540870879
390	0.1540332395
391	0.1539667911
392	0.1539093231
393	0.1538588712
394	0.1538037923
395	0.1537554397
396	0.1537008817
397	0.1536524852
398	0.1536075477
399	0.1535547938
400	0.1534956782
401	0.1534522103
402	0.1534010773
403	0.1533385789
404	0.1532971599
405	0.1532526986
406	0.1532033032
407	0.1531633808
408	0.1531110935
409	0.153063115
410	0.1530257592
411	0.152984466
412	0.1529350381
413	0.1528804317
414	0.1528425561
415	0.1528055137
416	0.1527648937
417	0.1527233984
418	0.1526837822
419	0.1526465423
420	0.1525973668
421	0.1525615021
422	0.1525264163
423	0.1524904807
424	0.1524534191
425	0.1524168405
426	0.1523749636
427	0.1523309908
428	0.15229461
429	0.1522635808
430	0.1522284608
431	0.1521980148
432	0.1521442213
433	0.1521053845
434	0.1520734703
435	0.1520351519
436	0.152011391
437	0.1519744407
438	0.1519422321
439	0.1519052348
440	0.1518818433
441	0.1518474171
442	0.1518078544
443	0.1517761447
444	0.1517464795
445	0.1517165966
446	0.1516949143
447	0.1516749724
448	0.1516418342
449	0.1516057864
450	0.1515746077
451	0.1515429035
452	0.1515184302
453	0.1514890732
454	0.1514598199
455	0.1514318198
456	0.1514035129
457	0.151380627
458	0.1513537867
459	0.1513333929
460	0.1513126686
461	0.1512896217
462	0.1512520486
463	0.1512238534
464	0.1511990026
465	0.1511704488
466	0.1511414101
467	0.1511181802
468	0.1510990131
469	0.1510794258
470	0.1510589456
471	0.1510333413
472	0.1510136401
473	0.1509825517
474	0.150960657
475	0.150942656
476	0.1509210854
477	0.1509005806
478	0.1508734852
479	0.1508519654
480	0.1508330799
481	0.150815483
482	0.1507827889
483	0.1507542498
484	0.1507207632
485	0.1506971326
486	0.1506569184
487	0.1506328716
488	0.150611992
489	0.150589211
490	0.1505650641
491	0.150542919
492	0.1505268142
493	0.1505055116
494	0.1504815841
495	0.1504461108
496	0.1504226107
497	0.1504048297
498	0.1503884093
499	0.1503463418
500	0.1503316717
501	0.1503078574
502	0.15029302
503	0.1502642776
504	0.1502526708
505	0.1502346556
506	0.1502091136
507	0.1501815749
508	0.1501600528
509	0.1501410782
510	0.1501249656
511	0.1501109551
512	0.1500953348
513	0.1500811586
514	0.150062821
515	0.1500532156
516	0.1500363701
517	0.1500121611
518	0.149986847
519	0.1499706149
520	0.1499524844
521	0.1499410845
522	0.149926356
523	0.1499032103
524	0.1498904207
525	0.1498706425
526	0.1498472751
527	0.1498355631
528	0.1498187172
529	0.1497994809
530	0.14977684
531	0.1497584788
532	0.1497436325
533	0.1497214757
534	0.1496981481
535	0.1496848628
536	0.1496691395
537	0.149657456
538	0.1496362326
539	0.1496237157
540	0.1496098995
541	0.1495925998
542	0.1495675693
543	0.1495392839
544	0.149519885
545	0.1495046899
546	0.1494933553
547	0.1494659515
548	0.1494502596
549	0.1494332018
550	0.1494136618
551	0.1493955488
552	0.14938429
553	0.1493681148
554	0.149335535
555	0.1493222962
556	0.1493070077
557	0.1492936881
558	0.1492845437
559	0.149271949
560	0.1492574889
561	0.1492372048
562	0.149222178
563	0.1492061692
564	0.1491773384
565	0.1491569995
566	0.1491432826
567	0.1491242277
568	0.1491071097
569	0.1490940947
570	0.1490763028
571	0.1490617425
572	0.1490469237
